"population","meanagegap","sdagegap","eyecap","transmission","Y35.mean","Y35.low","Y35.high"
1000,0,1,1000,0,0.0144560408480826,0.00668896321070234,0.0234204793028322
1000,0,1,1000,1,0.229244529225672,0.188679245283019,0.278364116094987
1000,0,1,300,0,0.0109231638363645,0.00417412045319022,0.0198675496688742
1000,0,1,300,1,0.164086043291128,0.118611987381703,0.20718954248366
1000,0,2,1000,0,0.0145156662678842,0.00596658711217184,0.0260869565217391
1000,0,2,1000,1,0.282330692576858,0.244952893674293,0.312292358803987
1000,0,2,300,0,0.0113653490328535,0.00524781341107872,0.0193842645381984
1000,0,2,300,1,0.258866345538465,0.216621253405995,0.294038847957133
1000,0,3,1000,0,0.016374575387437,0.00823271130625686,0.0277185501066098
1000,0,3,1000,1,0.304716445550659,0.275862068965517,0.333558406482107
1000,0,3,300,0,0.0136997892471757,0.00489396411092985,0.022271714922049
1000,0,3,300,1,0.29636646431245,0.264586160108548,0.327551701134089
1000,0,5,1000,0,0.0127348105025404,0.00602739726027397,0.0207310420076378
1000,0,5,1000,1,0.324039216943613,0.294987146529563,0.347040498442368
1000,0,5,300,0,0.0132244028418363,0.00638051044083527,0.024349750968456
1000,0,5,300,1,0.317989341802959,0.288858321870702,0.340819022457067
1000,10,1,1000,0,0.010989908252673,0.00529411764705882,0.0186371578334304
1000,10,1,1000,1,0.219705459551544,0.177835051546392,0.253036437246964
1000,10,1,300,0,0.010454221871922,0.00435967302452316,0.0183537263626251
1000,10,1,300,1,0.195156541639851,0.167745732783991,0.223667100130039
1000,10,2,1000,0,0.0157534524293759,0.00648999459167117,0.0269662921348315
1000,10,2,1000,1,0.249514085308624,0.224346717654557,0.27349319507453
1000,10,2,300,0,0.0113313100732891,0.00424242424242424,0.0220463538722442
1000,10,2,300,1,0.241674099597323,0.217576187101347,0.269728331177232
1000,10,3,1000,0,0.0164296796772687,0.00606060606060606,0.028312570781427
1000,10,3,1000,1,0.270859706391822,0.245614035087719,0.291554959785523
1000,10,3,300,0,0.0144230540613068,0.00651465798045603,0.0240700218818381
1000,10,3,300,1,0.253908253789189,0.230769230769231,0.278937381404175
1000,10,5,1000,0,0.015599409948596,0.00747065101387407,0.0286186020913594
1000,10,5,1000,1,0.302834720763693,0.276280323450135,0.340238543628374
1000,10,5,300,0,0.0198291747222701,0.00918422474338196,0.0331159056698445
1000,10,5,300,1,0.29561488818439,0.2663139329806,0.324290220820189
100,0,1,1000,0,0.0125625290200308,0,0.0412371134020619
100,0,1,1000,1,0.0961737263049774,0.00881057268722467,0.197530864197531
1000,1,1,1000,0,0.0143852084495898,0.00615556799104645,0.0234416622269579
1000,1,1,1000,1,0.23551396423368,0.184935701163503,0.277848101265823
1000,1,1,300,0,0.013041984488764,0.00581702802749868,0.0227995758218452
1000,1,1,300,1,0.198434972008327,0.150122549019608,0.247530864197531
1000,1,2,1000,0,0.0131057040505665,0.00563380281690141,0.0245508982035928
1000,1,2,1000,1,0.275512420676971,0.238283828382838,0.31879409878127
1000,1,2,300,0,0.0180373246434188,0.00772797527047913,0.0301561658589122
1000,1,2,300,1,0.274829968287373,0.243979721166033,0.302816901408451
100,0,1,300,0,0.00838043118969279,0,0.0232558139534884
100,0,1,300,1,0.0599886836253686,0.00568181818181818,0.128342245989305
1000,1,3,1000,0,0.0123479830750092,0.00522648083623693,0.0215366705471478
1000,1,3,1000,1,0.2951409610709,0.26413921690491,0.325691166554282
